"stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs"
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,1,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,10,1
"L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,5,1
"L3",3.958333,10.95833,20,TRUE,5,"ON","F1",192,1.958333,2.958333,1,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,9,1
"L3",6.041667,10.95833,20,TRUE,5,"ON","F1",192,4.041667,5.041667,3,1
"L3",4.208333,10.75,20,TRUE,5,"ON","F1",192,2.208333,3.208333,10,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,8,1
"L3",6.041667,10.95833,20,TRUE,5,"ON","F1",192,4.041667,5.041667,2,1
"L3",6.041667,10.95833,20,TRUE,5,"ON","F1",192,4.041667,5.041667,4,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,9,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,5,1
"L4",4.25,19.79167,20,TRUE,5,"ON","F1",193,2.25,3.25,3,1
"L4",5.291667,19.79167,20,TRUE,5,"ON","F1",193,3.291667,4.291667,8,1
"L4",4.25,19.79167,20,TRUE,5,"ON","F1",193,2.25,3.25,7,1
"L4",5.125,19.875,20,TRUE,5,"ON","F1",193,3.125,4.125,8,1
"L4",4.25,19.79167,20,TRUE,5,"ON","F1",193,2.25,3.25,9,1
"L4",3.208333,19.875,20,TRUE,5,"ON","F1",193,1.208333,2.208333,2,1
"L4",6.25,19.875,20,TRUE,5,"ON","F1",193,4.25,5.25,9,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,9,1
"L4",4.083333,19.79167,20,TRUE,5,"ON","F1",193,2.083333,3.083333,5,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,1,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,6,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,10,1
"L4",4.083333,19.875,20,TRUE,5,"ON","F1",193,2.083333,3.083333,8,1
"L4",5.125,19.875,20,TRUE,5,"ON","F1",193,3.125,4.125,7,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,3,1
"L4",4.083333,19.79167,20,TRUE,5,"ON","F1",193,2.083333,3.083333,5,1
"L4",5.125,19.875,20,TRUE,5,"ON","F1",193,3.125,4.125,3,1
"L4",5.25,19.75,20,TRUE,5,"ON","F1",193,3.25,4.25,1,1
"L4",5.166667,20.04167,20,TRUE,5,"ON","F1",193,3.166667,4.166667,2,1
"L4",2.25,19.79167,20,TRUE,5,"ON","F1",193,0.25,1.25,9,1
"L4",4.083333,19.79167,20,TRUE,5,"ON","F1",193,2.083333,3.083333,7,1
"L4",4.083333,19.875,20,TRUE,5,"ON","F1",193,2.083333,3.083333,2,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,2,1
"L4",4.083333,19.875,20,TRUE,5,"ON","F1",193,2.083333,3.083333,6,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,6,1
"L4",5.208333,19.79167,20,TRUE,5,"ON","F1",193,3.208333,4.208333,8,1
"L4",4.083333,19.875,20,TRUE,5,"ON","F1",193,2.083333,3.083333,4,1
"L4",5.208333,19.79167,20,TRUE,5,"ON","F1",193,3.208333,4.208333,10,1
"L4",5.208333,19.79167,20,TRUE,5,"ON","F1",193,3.208333,4.208333,6,1
"L4",4.208333,19.75,20,TRUE,5,"ON","F1",193,2.208333,3.208333,8,1
"L4",5.125,19.875,20,TRUE,5,"ON","F1",193,3.125,4.125,4,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,6,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,6,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,10,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,8,1
"L4",4.208333,19.79167,20,TRUE,5,"ON","F1",193,2.208333,3.208333,2,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,2,1
"L4",4.083333,19.79167,20,TRUE,5,"ON","F1",193,2.083333,3.083333,4,1
"L4",4.208333,19.75,20,TRUE,5,"ON","F1",193,2.208333,3.208333,9,1
"L4",4.083333,19.875,20,TRUE,5,"ON","F1",193,2.083333,3.083333,1,1
"L4",5.125,19.875,20,TRUE,5,"ON","F1",193,3.125,4.125,7,1
"L4",4.25,19.79167,20,TRUE,5,"ON","F1",193,2.25,3.25,6,1
