"dev.low","dev.high","base","date"
0.0826882581846184,0.213949230846894,0.05,2020-04-26
0.113700801873427,0.165114607656253,0.25,2020-04-26
0.137677985457548,0.137677985457548,0.5,2020-04-26
0.0613314580046943,0.305211955227692,0.005,2020-04-27
0.0825644031824778,0.255989494500169,0.025,2020-04-27
0.0937588760728771,0.235450445113724,0.05,2020-04-27
0.127521578022606,0.183210011788443,0.25,2020-04-27
0.153564259488681,0.153564259488681,0.5,2020-04-27
0.0872799487971915,0.355710613591189,0.005,2020-04-28
0.109657716059681,0.302925051489923,0.025,2020-04-28
0.121494742236669,0.280421943945575,0.05,2020-04-28
0.159239672001926,0.222115408914494,0.25,2020-04-28
0.188724488899292,0.188724488899292,0.5,2020-04-28
0.0986670385135026,0.388272818771587,0.005,2020-04-29
0.122996000650364,0.332352034423339,0.025,2020-04-29
0.135831564860247,0.308318374555976,0.05,2020-04-29
0.177013084229471,0.245415522127695,0.25,2020-04-29
0.209155149855235,0.209155149855235,0.5,2020-04-29
0.0995552681182059,0.397665960479966,0.005,2020-04-30
0.124502349485837,0.339727645139963,0.025,2020-04-30
0.13768320042974,0.31487458193526,0.05,2020-04-30
0.179869445671517,0.250065061129897,0.25,2020-04-30
0.212823295112291,0.212823295112291,0.5,2020-04-30
0.132130892631096,0.46131514729806,0.005,2020-05-01
0.158326823572182,0.398230986815402,0.025,2020-05-01
0.172329549354773,0.370712044273895,0.05,2020-05-01
0.219220922373745,0.298189179901088,0.25,2020-05-01
0.256316495368164,0.256316495368164,0.5,2020-05-01
0.144219531171007,0.496993018006066,0.005,2020-05-02
0.172645927885795,0.430712138678704,0.025,2020-05-02
0.187827801633559,0.401501042762528,0.05,2020-05-02
0.238634468788185,0.323856144946853,0.25,2020-05-02
0.27877122005532,0.27877122005532,0.5,2020-05-02
0.145649536038212,0.507744990654262,0.005,2020-05-03
0.174808291889248,0.439449063811057,0.025,2020-05-03
0.190392912499076,0.409374057083473,0.05,2020-05-03
0.242439442042162,0.329742377391278,0.25,2020-05-03
0.283534950846581,0.283534950846581,0.5,2020-05-03
0.146115565088923,0.512894349285018,0.005,2020-05-04
0.175558664998301,0.44314158136745,0.025,2020-05-04
0.191254599844901,0.412640085476231,0.05,2020-05-04
0.243794441837194,0.331966063402846,0.25,2020-05-04
0.285267374201227,0.285267374201227,0.5,2020-05-04
0.150658486515607,0.53067666290405,0.005,2020-05-05
0.181458005753761,0.458721817043064,0.025,2020-05-05
0.197770589216992,0.427191814083194,0.05,2020-05-05
0.252366656843246,0.343776381970224,0.25,2020-05-05
0.295373525379695,0.295373525379695,0.5,2020-05-05
0.153677641203208,0.546088509026809,0.005,2020-05-06
0.185651229258913,0.472044571628959,0.025,2020-05-06
0.202589937242478,0.439555817356212,0.05,2020-05-06
0.259043630936204,0.353475578850212,0.25,2020-05-06
0.303473692644592,0.303473692644592,0.5,2020-05-06
0.153969507677179,0.550253081382743,0.005,2020-05-07
0.186154092678745,0.47497726775707,0.025,2020-05-07
0.203225102657548,0.442098275727558,0.05,2020-05-07
0.260034197132255,0.355147435632719,0.25,2020-05-07
0.304773492864997,0.304773492864997,0.5,2020-05-07
0.154212887575201,0.554391038851336,0.005,2020-05-08
0.186598457610763,0.477744200071901,0.025,2020-05-08
0.203782438184495,0.444429475594763,0.05,2020-05-08
0.26093272595039,0.356668924258825,0.25,2020-05-08
0.305939321400017,0.305939321400017,0.5,2020-05-08
0.154510795461749,0.558282510133675,0.005,2020-05-09
0.187073143078966,0.480686467040195,0.025,2020-05-09
0.204358369082807,0.446843703950261,0.05,2020-05-09
0.261854356317329,0.358264198850043,0.25,2020-05-09
0.307148092288246,0.307148092288246,0.5,2020-05-09
0.154760366861785,0.562335907160146,0.005,2020-05-10
0.187514314957015,0.483362180081069,0.025,2020-05-10
0.204920813712897,0.449194019461382,0.05,2020-05-10
0.262734414079994,0.359802302814781,0.25,2020-05-10
0.308301653536918,0.308301653536918,0.5,2020-05-10
0.155267759027227,0.568273262268337,0.005,2020-05-11
0.188372983238036,0.487779992911602,0.025,2020-05-11
0.205956806205131,0.453049796771255,0.05,2020-05-11
0.264336657894132,0.362434449398406,0.25,2020-05-11
0.310349276875091,0.310349276875091,0.5,2020-05-11
0.156813274707379,0.579439698070729,0.005,2020-05-12
0.190777827596822,0.497041818135138,0.025,2020-05-12
0.208761951636268,0.461495850027108,0.05,2020-05-12
0.268492559294882,0.368790342426671,0.25,2020-05-12
0.315533303795358,0.315533303795358,0.5,2020-05-12
0.177021427220828,0.623753436516217,0.005,2020-05-13
0.212535698148491,0.537838258950692,0.025,2020-05-13
0.231532401796564,0.500353411357224,0.05,2020-05-13
0.295063531993766,0.402004355484968,0.25,2020-05-13
0.345261040377156,0.345261040377156,0.5,2020-05-13
0.182474771921738,0.645075987112484,0.005,2020-05-14
0.219479889306113,0.556442116878231,0.025,2020-05-14
0.239206518845191,0.517742456523259,0.05,2020-05-14
0.305162267949572,0.415983774460982,0.25,2020-05-14
0.3572200863754,0.3572200863754,0.5,2020-05-14
0.188611245378306,0.672610359553599,0.005,2020-05-15
0.227854753649202,0.580736581273762,0.025,2020-05-15
0.248683770894479,0.540576320745286,0.05,2020-05-15
0.318087180524922,0.434327262381798,0.25,2020-05-15
0.372771294723854,0.372771294723854,0.5,2020-05-15
0.219020523438042,0.738734361356203,0.005,2020-05-16
0.260437121320728,0.64155330418771,0.025,2020-05-16
0.282703222451348,0.598501136941885,0.05,2020-05-16
0.357654092631287,0.483796342847534,0.25,2020-05-16
0.417019664343381,0.417019664343381,0.5,2020-05-16
0.259696922366718,0.827238913836394,0.005,2020-05-17
0.304098371113698,0.722607587985375,0.025,2020-05-17
0.328184610173414,0.67529518858665,0.05,2020-05-17
0.410383663632362,0.549452077599973,0.25,2020-05-17
0.475851974510245,0.475851974510245,0.5,2020-05-17
0.293400915111752,0.904431873481541,0.005,2020-05-18
0.340819569416495,0.79247281057619,0.025,2020-05-18
0.36654550834148,0.741637072369317,0.05,2020-05-18
0.455336423338763,0.605805697509839,0.25,2020-05-18
0.526199760211088,0.526199760211088,0.5,2020-05-18
0.339851344783645,1.00496170189907,0.005,2020-05-19
0.391396512227661,0.888178622546392,0.025,2020-05-19
0.419512376447908,0.832348278306638,0.05,2020-05-19
0.517064685146072,0.682828753888603,0.25,2020-05-19
0.595079573222935,0.595079573222935,0.5,2020-05-19
0.425312280674973,1.18532485460792,0.005,2020-05-20
0.484923532751932,1.05625457032286,0.025,2020-05-20
0.517893131810575,1.00024048235549,0.05,2020-05-20
0.631678611547902,0.825935121811545,0.25,2020-05-20
0.723060846606672,0.723060846606672,0.5,2020-05-20
0.530271635790803,1.40762500280952,0.005,2020-05-21
0.60116713712933,1.26678983360878,0.025,2020-05-21
0.640579081537481,1.19995702442647,0.05,2020-05-21
0.775739015121237,1.00608158302426,0.25,2020-05-21
0.88438886864991,0.88438886864991,0.5,2020-05-21
0.609070275824568,1.60949977272994,0.005,2020-05-22
0.688855558923628,1.45160964860997,0.025,2020-05-22
0.733012279312831,1.37432829339497,0.05,2020-05-22
