"province","temp","rate","time"
"IN",4.9,0.00589575624179938,169.613526654945
"IPU",4.9,0.00942022564753364,106.154569694204
"NB2",4.9,0.00836680907166946,119.519879319886
"ON",4.9,0.00628227670497524,159.177964807993
"QC",4.9,0.00616784928783518,162.131069445248
"IN",5,0.00625529322331236,159.864617152385
"IPU",5,0.00987045422755707,101.312460104109
"NB2",5,0.0087090891636997,114.822570042489
"ON",5,0.0065271290420147,153.206715433623
"QC",5,0.00645009452810512,155.036489002299
"IN",5.1,0.00663591435012746,150.695134098389
"IPU",5.1,0.0103383309509508,96.7274131633341
"NB2",5.1,0.00905996537756354,110.375700509406
"ON",5.1,0.00678403202255943,147.404964621517
"QC",5.1,0.00674730397171922,148.207343899382
"IN",5.2,0.00703661075263954,142.113872771572
"IPU",5.2,0.0108252030031965,92.3770207158089
"NB2",5.2,0.00942351005019762,106.117571738395
"ON",5.2,0.00705053094025434,141.833291655759
"QC",5.2,0.00704984033372194,141.847184501951
"IN",5.3,0.0074528648174184,134.176598372253
"IPU",5.3,0.0113277099669686,88.2790963911504
"NB2",5.3,0.00979070286680435,102.137724566613
"ON",5.3,0.00732356833875873,136.545459429585
"QC",5.3,0.00736042024554243,135.861808981314
"IN",5.4,0.00788456708192916,126.830045362876
"IPU",5.4,0.0118462258430644,84.4150714581848
"NB2",5.4,0.0101786089063129,98.2452589980935
"ON",5.4,0.00760710994067846,131.455967896222
"QC",5.4,0.00768656376221089,130.097145463848
"IN",5.5,0.00833848607532542,119.925846425068
"IPU",5.5,0.0123972472645364,80.6630688311982
"NB2",5.5,0.0105803638868583,94.5147083889128
"ON",5.5,0.00789413257579583,126.676362581017
"QC",5.5,0.00802213220461916,124.655138950535
"IN",5.6,0.00881895914479148,113.392067606019
"IPU",5.6,0.0129572921155446,77.176619528422
"NB2",5.6,0.011009916778894,90.8272078790704
"ON",5.6,0.00818923313831335,122.111555927011
"QC",5.6,0.00837751028925905,119.367206427498
"IN",5.7,0.00934051536325005,107.060474044048
"IPU",5.7,0.0135436343525104,73.8354251259167
"NB2",5.7,0.0114459776925839,87.3669362927629
"ON",5.7,0.00850285348831316,117.607580164827
