"stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs","q5","q50","q95","in.predint"
"L6",6.5,9.833333,20,TRUE,10,"ON","F1",165,4.5,5.5,1,1,5.83716934289253,8.80739663830637,12.5824727264898,1
"L6",7.5,9.833333,20,TRUE,10,"ON","F1",165,5.5,6.5,1,1,5.83716934289253,8.80739663830637,12.5824727264898,1
"L6",7.625,9.791667,20,TRUE,10,"ON","F1",165,5.625,6.625,1,1,5.83984209757656,8.80835439245099,12.5826106960269,1
"L6",7.625,9.958333,20,TRUE,10,"ON","F1",165,5.625,6.625,1,1,5.82915095054615,8.80452332989956,12.5820588112558,1
"L6",8.625,9.791667,20,TRUE,10,"ON","F1",165,6.625,7.625,1,1,5.83984209757656,8.80835439245099,12.5826106960269,1
"L6",5.625,9.791667,20,TRUE,10,"ON","F1",165,3.625,4.625,1,1,5.83984209757656,8.80835439245099,12.5826106960269,0
"L6",6.625,9.791667,20,TRUE,10,"ON","F1",165,4.625,5.625,1,1,5.83984209757656,8.80835439245099,12.5826106960269,1
"L2",12,0,15,FALSE,15,"ON","F1",166,11,12,1,1,7.23277294395004,10.3668115769382,14.8604097979202,1
"L2",10,0,15,FALSE,15,"ON","F1",166,9,10,1,1,7.23277294395004,10.3668115769382,14.8604097979202,1
"L3",8.958333,0,15,FALSE,15,"ON","F1",167,6.958333,7.958333,1,1,5.63098868665991,7.80329480198795,10.8130029367305,1
"L3",9.958333,0,15,FALSE,15,"ON","F1",167,7.958333,8.958333,1,1,5.63098868665991,7.80329480198795,10.8130029367305,1
"L4",9,0,15,FALSE,15,"ON","F1",168,7,8,1,1,5.16273637912571,7.0222584137711,9.54617967904379,1
"L4",7,0,15,FALSE,15,"ON","F1",168,5,6,1,1,5.16273637912571,7.0222584137711,9.54617967904379,1
"L5",9,0,15,FALSE,15,"ON","F1",169,7,8,1,1,6.28746994687672,8.64744333475036,11.8903908929367,1
"L5",8,0,15,FALSE,15,"ON","F1",169,6,7,1,1,6.28746994687672,8.64744333475036,11.8903908929367,1
"L6",16,0,15,FALSE,15,"ON","F1",170,14,15,1,1,10.6680799113864,15.0290048077586,21.1652747421978,1
"L6",15,0,15,FALSE,15,"ON","F1",170,13,14,1,1,10.6680799113864,15.0290048077586,21.1652747421978,1
"L2",8,0,20,FALSE,20,"ON","F1",171,7,8,1,1,4.83201295017898,6.86476001550663,9.75130038424328,1
"L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.83201295017898,6.86476001550663,9.75130038424328,1
"L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.83201295017898,6.86476001550663,9.75130038424328,1
"L2",8,0,20,FALSE,20,"ON","F1",171,7,8,1,1,4.83201295017898,6.86476001550663,9.75130038424328,1
"L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.83201295017898,6.86476001550663,9.75130038424328,1
