"","stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs","q5","q50","q95","in.predint"
"70","L3",5.083333,7.958333,20,TRUE,10,"ON","F1",162,3.083333,4.083333,1,1,1.50404940948409,2.77043808665609,4.51480278168771,1
"71","L4",3.291667,5.708333,20,TRUE,10,"ON","F1",163,1.291667,2.291667,1,1,1.93445992017625,3.03545031684987,4.49303227489488,1
"72","L4",6.208333,5.875,20,TRUE,10,"ON","F1",163,4.208333,5.208333,1,1,1.89553937838678,2.99706435316311,4.45537421461818,1
"73","L4",3.958333,5.875,20,TRUE,10,"ON","F1",163,1.958333,2.958333,1,1,1.89553937838678,2.99706435316311,4.45537421461818,1
"74","L4",4.166667,5.916667,20,TRUE,10,"ON","F1",163,2.166667,3.166667,1,1,1.88580918455872,2.98746780466259,4.44595964306203,1
"75","L4",4.083333,5.833333,20,TRUE,10,"ON","F1",163,2.083333,3.083333,1,1,1.90526957221484,3.00666090166363,4.46478878617433,1
"76","L4",4.166667,5.916667,20,TRUE,10,"ON","F1",163,2.166667,3.166667,1,1,1.88580918455872,2.98746780466259,4.44595964306203,1
"77","L4",5.958333,5.916667,20,TRUE,10,"ON","F1",163,3.958333,4.958333,1,1,1.88580918455872,2.98746780466259,4.44595964306203,1
"78","L4",4.916667,5.875,20,TRUE,10,"ON","F1",163,2.916667,3.916667,1,1,1.89553937838678,2.99706435316311,4.45537421461818,1
"79","L4",4.166667,5.916667,20,TRUE,10,"ON","F1",163,2.166667,3.166667,1,1,1.88580918455872,2.98746780466259,4.44595964306203,1
"80","L4",4.166667,5.916667,20,TRUE,10,"ON","F1",163,2.166667,3.166667,1,1,1.88580918455872,2.98746780466259,4.44595964306203,1
"81","L4",3.958333,5.875,20,TRUE,10,"ON","F1",163,1.958333,2.958333,1,1,1.89553937838678,2.99706435316311,4.45537421461818,1
"82","L4",3.958333,5.875,20,TRUE,10,"ON","F1",163,1.958333,2.958333,1,1,1.89553937838678,2.99706435316311,4.45537421461818,1
"83","L4",4.125,5.875,20,TRUE,10,"ON","F1",163,2.125,3.125,1,1,1.89553937838678,2.99706435316311,4.45537421461818,1
"84","L4",3.958333,5.875,20,TRUE,10,"ON","F1",163,1.958333,2.958333,1,1,1.89553937838678,2.99706435316311,4.45537421461818,1
"85","L4",4.083333,5.833333,20,TRUE,10,"ON","F1",163,2.083333,3.083333,1,1,1.90526957221484,3.00666090166363,4.46478878617433,1
"86","L5",8.208333,5.708333,20,TRUE,10,"ON","F1",164,6.208333,7.208333,1,1,2.39917291765751,3.75736384851953,5.62930756551709,0
"87","L5",5.083333,5.833333,20,TRUE,10,"ON","F1",164,3.083333,4.083333,1,1,2.37559680881882,3.73418124912699,5.60665094605987,1
"88","L5",4.208333,5.875,20,TRUE,10,"ON","F1",164,2.208333,3.208333,1,1,2.36773804300297,3.72645365417588,5.59909867915648,1
"89","L5",4.291667,5.708333,20,TRUE,10,"ON","F1",164,2.291667,3.291667,1,1,2.39917291765751,3.75736384851953,5.62930756551709,1
"90","L5",5.083333,5.916667,20,TRUE,10,"ON","F1",164,3.083333,4.083333,1,1,2.35987927718711,3.71872605922477,5.59154641225309,1
"91","L5",4.291667,5.708333,20,TRUE,10,"ON","F1",164,2.291667,3.291667,1,1,2.39917291765751,3.75736384851953,5.62930756551709,1
"92","L5",5.125,5.875,20,TRUE,10,"ON","F1",164,3.125,4.125,1,1,2.36773804300297,3.72645365417588,5.59909867915648,1
"93","L5",5.125,5.875,20,TRUE,10,"ON","F1",164,3.125,4.125,1,1,2.36773804300297,3.72645365417588,5.59909867915648,1
"94","L5",4.291667,5.708333,20,TRUE,10,"ON","F1",164,2.291667,3.291667,1,1,2.39917291765751,3.75736384851953,5.62930756551709,1
"95","L5",4.291667,5.708333,20,TRUE,10,"ON","F1",164,2.291667,3.291667,1,1,2.39917291765751,3.75736384851953,5.62930756551709,1
"96","L5",7.208333,5.875,20,TRUE,10,"ON","F1",164,5.208333,6.208333,1,1,2.36773804300297,3.72645365417588,5.59909867915648,1
"97","L5",5.041667,5.875,20,TRUE,10,"ON","F1",164,3.041667,4.041667,1,1,2.36773804300297,3.72645365417588,5.59909867915648,1
"98","L5",5.208333,5.875,20,TRUE,10,"ON","F1",164,3.208333,4.208333,1,1,2.36773804300297,3.72645365417588,5.59909867915648,1
"99","L5",4.208333,5.875,20,TRUE,10,"ON","F1",164,2.208333,3.208333,1,1,2.36773804300297,3.72645365417588,5.59909867915648,1
"100","L5",4.208333,5.916667,20,TRUE,10,"ON","F1",164,2.208333,3.208333,1,1,2.35987927718711,3.71872605922477,5.59154641225309,1
"101","L6",6.5,9.916667,20,TRUE,10,"ON","F1",165,4.5,5.5,1,1,3.74807392331161,6.59385672045467,10.7074417863139,1
