"","stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs","q5","q50","q95","in.predint"
"90","L5",5.083333,5.916667,20,TRUE,10,"ON","F1",164,3.083333,4.083333,1,1,0,12.9555225794251,Inf,1
"91","L5",4.291667,5.708333,20,TRUE,10,"ON","F1",164,2.291667,3.291667,1,1,0,12.9935341476784,Inf,1
"92","L5",5.125,5.875,20,TRUE,10,"ON","F1",164,3.125,4.125,1,1,0,12.9631249295667,Inf,1
"93","L5",5.125,5.875,20,TRUE,10,"ON","F1",164,3.125,4.125,1,1,0,12.9631249295667,Inf,1
"94","L5",4.291667,5.708333,20,TRUE,10,"ON","F1",164,2.291667,3.291667,1,1,0,12.9935341476784,Inf,1
"95","L5",4.291667,5.708333,20,TRUE,10,"ON","F1",164,2.291667,3.291667,1,1,0,12.9935341476784,Inf,1
"96","L5",7.208333,5.875,20,TRUE,10,"ON","F1",164,5.208333,6.208333,1,1,0,12.9631249295667,Inf,1
"97","L5",5.041667,5.875,20,TRUE,10,"ON","F1",164,3.041667,4.041667,1,1,0,12.9631249295667,Inf,1
"98","L5",5.208333,5.875,20,TRUE,10,"ON","F1",164,3.208333,4.208333,1,1,0,12.9631249295667,Inf,1
"99","L5",4.208333,5.875,20,TRUE,10,"ON","F1",164,2.208333,3.208333,1,1,0,12.9631249295667,Inf,1
"100","L5",4.208333,5.916667,20,TRUE,10,"ON","F1",164,2.208333,3.208333,1,1,0,12.9555225794251,Inf,1
"101","L6",6.5,9.916667,20,TRUE,10,"ON","F1",165,4.5,5.5,1,1,0,Inf,Inf,1
"102","L6",6.625,9.875,20,TRUE,10,"ON","F1",165,4.625,5.625,1,1,0,Inf,Inf,1
"103","L6",7.625,9.791667,20,TRUE,10,"ON","F1",165,5.625,6.625,1,1,0,Inf,Inf,1
"104","L6",8.5,9.833333,20,TRUE,10,"ON","F1",165,6.5,7.5,1,1,0,Inf,Inf,1
"105","L6",7.541667,10,20,TRUE,10,"ON","F1",165,5.541667,6.541667,1,1,0,Inf,Inf,1
"106","L6",6.5,9.833333,20,TRUE,10,"ON","F1",165,4.5,5.5,1,1,0,Inf,Inf,1
"107","L6",10.625,9.916667,20,TRUE,10,"ON","F1",165,8.625,9.625,1,1,0,Inf,Inf,1
"108","L6",7.625,9.916667,20,TRUE,10,"ON","F1",165,5.625,6.625,1,1,0,Inf,Inf,1
"109","L6",6.5,9.833333,20,TRUE,10,"ON","F1",165,4.5,5.5,1,1,0,Inf,Inf,1
"110","L6",7.5,9.833333,20,TRUE,10,"ON","F1",165,5.5,6.5,1,1,0,Inf,Inf,1
"111","L6",7.625,9.791667,20,TRUE,10,"ON","F1",165,5.625,6.625,1,1,0,Inf,Inf,1
"112","L6",7.625,9.958333,20,TRUE,10,"ON","F1",165,5.625,6.625,1,1,0,Inf,Inf,1
"113","L6",8.625,9.791667,20,TRUE,10,"ON","F1",165,6.625,7.625,1,1,0,Inf,Inf,1
"114","L6",5.625,9.791667,20,TRUE,10,"ON","F1",165,3.625,4.625,1,1,0,Inf,Inf,1
"115","L6",6.625,9.791667,20,TRUE,10,"ON","F1",165,4.625,5.625,1,1,0,Inf,Inf,1
"116","L2",12,0,15,FALSE,15,"ON","F1",166,11,12,1,1,1.26676990748034,92.8654240036367,Inf,1
"117","L2",10,0,15,FALSE,15,"ON","F1",166,9,10,1,1,1.26676990748034,92.8654240036367,Inf,1
"118","L3",8.958333,0,15,FALSE,15,"ON","F1",167,6.958333,7.958333,1,1,1.23671060282894,Inf,Inf,1
"119","L3",9.958333,0,15,FALSE,15,"ON","F1",167,7.958333,8.958333,1,1,1.23671060282894,Inf,Inf,1
"120","L4",9,0,15,FALSE,15,"ON","F1",168,7,8,1,1,1.08139970955315,Inf,Inf,1
"121","L4",7,0,15,FALSE,15,"ON","F1",168,5,6,1,1,1.08139970955315,Inf,Inf,1
"122","L5",9,0,15,FALSE,15,"ON","F1",169,7,8,1,1,1.11280334112997,25.1843775027003,Inf,1
"123","L5",8,0,15,FALSE,15,"ON","F1",169,6,7,1,1,1.11280334112997,25.1843775027003,Inf,1
"124","L6",16,0,15,FALSE,15,"ON","F1",170,14,15,1,1,2.16266364513177,Inf,Inf,1
"125","L6",15,0,15,FALSE,15,"ON","F1",170,13,14,1,1,2.16266364513177,Inf,Inf,1
"126","L2",8,0,20,FALSE,20,"ON","F1",171,7,8,1,1,0.770671369377635,51.4178184165193,Inf,1
"127","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,0.770671369377635,51.4178184165193,Inf,1
"128","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,0.770671369377635,51.4178184165193,Inf,1
"129","L2",8,0,20,FALSE,20,"ON","F1",171,7,8,1,1,0.770671369377635,51.4178184165193,Inf,1
"130","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,0.770671369377635,51.4178184165193,Inf,1
"131","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,0.770671369377635,51.4178184165193,Inf,1
"132","L2",6,0,20,FALSE,20,"ON","F1",171,5,6,1,1,0.770671369377635,51.4178184165193,Inf,1
"133","L2",6,0,20,FALSE,20,"ON","F1",171,5,6,1,1,0.770671369377635,51.4178184165193,Inf,1
"134","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,0.770671369377635,51.4178184165193,Inf,1
"135","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,0.770671369377635,51.4178184165193,Inf,1
"136","L2",6,0,20,FALSE,20,"ON","F1",171,5,6,1,1,0.770671369377635,51.4178184165193,Inf,1
"137","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,0.770671369377635,51.4178184165193,Inf,1
"138","L3",6,0,20,FALSE,20,"ON","F1",172,4,5,1,1,0.631364180476634,Inf,Inf,1
"139","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,0.631364180476634,Inf,Inf,1
"140","L3",6,0,20,FALSE,20,"ON","F1",172,4,5,1,1,0.631364180476634,Inf,Inf,1
"141","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,0.631364180476634,Inf,Inf,1
"142","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,0.631364180476634,Inf,Inf,1
"143","L3",4,0,20,FALSE,20,"ON","F1",172,2,3,1,1,0.631364180476634,Inf,Inf,1
"144","L3",6,0,20,FALSE,20,"ON","F1",172,4,5,1,1,0.631364180476634,Inf,Inf,1
"145","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,0.631364180476634,Inf,Inf,1
"146","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,0.631364180476634,Inf,Inf,1
"147","L3",7,0,20,FALSE,20,"ON","F1",172,5,6,1,1,0.631364180476634,Inf,Inf,1
"148","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,0.631364180476634,Inf,Inf,1
"149","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,0.631364180476634,Inf,Inf,1
"150","L4",6,0,20,FALSE,20,"ON","F1",173,4,5,1,1,0.640238236357907,Inf,Inf,1
"151","L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,0.640238236357907,Inf,Inf,1
"152","L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,0.640238236357907,Inf,Inf,1
"153","L4",4,0,20,FALSE,20,"ON","F1",173,2,3,1,1,0.640238236357907,Inf,Inf,1
